id,lon,lat,depth_m,mea_ug_kg_orig
13951,12.438333,45.422778,3.0,2850.0
13952,12.438333,45.422778,3.0,3053.0
13953,12.438333,45.422778,3.0,3100.0
13954,12.438333,45.422778,3.0,3200.0
13955,12.438333,45.422778,3.0,3200.0
13956,12.438333,45.422778,3.0,5800.0
13957,12.438333,45.422778,3.0,6800.0
13958,12.438333,45.422778,3.0,7600.0
13959,12.438333,45.422778,0.0,230.0
13960,12.438333,45.422778,0.0,250.0
13961,12.438333,45.422778,0.0,310.0
13962,12.438333,45.422778,0.0,320.0
13963,12.438333,45.422778,0.0,680.0
13964,12.3,45.239444,3.0,30.0
13965,12.3,45.239444,3.0,30.0
13966,12.3,45.239444,3.0,310.0
13967,12.3,45.239444,3.0,3950.0
13968,12.3,45.239444,3.0,4180.0
13969,16.686667,40.145,0.0,124.0
13970,16.686667,40.145,0.0,190.0
13971,16.686667,40.145,0.0,204.0
13972,16.686667,40.145,0.0,237.0
13973,16.686667,40.145,0.0,450.0
13974,16.686667,40.145,0.0,1030.0
13975,16.686667,40.145,0.0,1210.0
13976,16.686667,40.145,0.0,1530.0
13977,16.686667,40.145,0.0,1640.0
13978,16.686667,40.145,0.0,1900.0
13979,16.686667,40.145,0.0,2370.0
13980,14.4325,42.341944,6.0,760.0
13981,14.4325,42.341944,6.0,1400.0
13982,14.416667000000002,42.343610999999996,7.0,760.0
13983,14.416667000000002,42.343610999999996,7.0,1400.0
13984,14.423889,42.348611,0.0,88.0
13985,14.423889,42.348611,0.0,90.0
13986,14.423889,42.348611,0.0,100.0
13987,14.423889,42.348611,0.0,200.0
13988,14.423889,42.348611,0.0,270.0
13989,14.423889,42.348611,0.0,500.0
13990,14.423889,42.348611,0.0,500.0
13991,14.423889,42.348611,0.0,1300.0
13992,14.423889,42.348611,0.0,1682.0
13993,14.423889,42.348611,0.0,2000.0
13994,14.423889,42.348611,0.0,2000.0
13995,14.423889,42.348611,0.0,2000.0
13996,14.423889,42.348611,0.0,2050.0
13997,14.423889,42.348611,0.0,3000.0
13998,14.423889,42.348611,0.0,9000.0
13999,14.423889,42.348611,0.0,9000.0
14000,14.423889,42.348611,0.0,11560.0
14001,14.416667000000002,42.35,4.0,0.05
14002,12.303611,45.233610999999996,0.0,170.0
14003,12.303611,45.233610999999996,0.0,180.0
14004,12.303611,45.233610999999996,0.0,330.0
14005,12.303611,45.233610999999996,0.0,470.0
14006,12.303611,45.233610999999996,0.0,630.0
14007,12.303611,45.233610999999996,3.0,41.0
14008,12.303611,45.233610999999996,3.0,260.0
14009,12.303611,45.233610999999996,3.0,740.0
14010,12.303611,45.233610999999996,3.0,1100.0
14011,12.303611,45.233610999999996,3.0,1400.0
14012,12.303611,45.233610999999996,3.0,1763.0
14013,12.303611,45.233610999999996,3.0,1800.0
14014,12.303611,45.233610999999996,3.0,1800.0
14015,12.303611,45.233610999999996,3.0,1800.0
14016,12.303611,45.233610999999996,3.0,2360.0
14017,12.303611,45.233610999999996,3.0,3100.0
14018,12.303611,45.233610999999996,3.0,3300.0
14019,12.303611,45.233610999999996,3.0,4000.0
14020,12.303611,45.233610999999996,3.0,6300.0
14021,12.303611,45.233610999999996,3.0,18780.5
14022,12.303611,45.233610999999996,3.0,29126.0
14023,14.239167000000002,42.458056,0.0,63.0
14024,14.239167000000002,42.458056,0.0,109.0
14025,14.239167000000002,42.458056,0.0,490.0
14026,14.239167000000002,42.458056,0.0,500.0
14027,14.239167000000002,42.458056,0.0,500.0
14028,14.239167000000002,42.458056,0.0,510.0
14029,14.239167000000002,42.458056,0.0,1000.0
14030,14.239167000000002,42.458056,0.0,1000.0
14031,14.239167000000002,42.458056,0.0,1000.0
14032,14.239167000000002,42.458056,0.0,1090.0
14033,14.239167000000002,42.458056,0.0,2000.0
14034,14.239167000000002,42.458056,0.0,2000.0
14035,14.239167000000002,42.458056,0.0,3000.0
